cycle,charge_time_to_full_rolling_mean_10,voltage_spread_under_load_rolling_mean_10,proxy_IR_mean_rolling_mean_10,voltage_asymmetry_under_load_rolling_mean_10,charge_time_to_full_rolling_mean_5,voltage_spread_under_load_rolling_mean_5,voltage_spread_mean_rolling_mean_10,voltage_spread_under_load_rolling_mean_3,charge_time_to_full_rolling_mean_3,voltage_spread_under_load,voltage_spread_max_rolling_mean_10,charge_time_to_full,proxy_IR_mean,proxy_IR_median,proxy_IR_mean_rolling_mean_5,Cell_V_Avg_range_rolling_mean_10,proxy_IR_mean_rolling_mean_3,voltage_asymmetry_under_load_rolling_mean_5,voltage_asymmetry_under_load_rolling_mean_3,charge_time_to_95,voltage_asymmetry_under_load,voltage_spread_mean_rolling_mean_5,voltage_spread_max_rolling_mean_5,active_duration,voltage_spread_max_rolling_mean_3,charge_time_to_80,Cell_V_Avg_range_rolling_mean_5,voltage_spread_mean_rolling_mean_3,voltage_asymmetry_mean_rolling_mean_10,Cell_V_Avg_range_rolling_mean_3,soh_label
21,5722.9,0.006172718144237768,0.0015899809196502385,0.25840580655140827,5683.0,0.006262391322372707,0.005879732271249378,0.006282935083893483,5668.666666666667,0.006263540931545521,0.017300000000000225,5648.0,0.0016535283862308793,0.0016465422612513855,0.0016278870692200923,0.8242999999999998,0.0016390106437826843,0.2607773054855097,0.26116778977188165,4252.0,0.26063367825688843,0.005982586121241333,0.017600000000000105,22672,0.017666666666666792,2996.0,0.8243999999999998,0.0059633548966159635,0.25582150264709136,0.8256666666666664,95.0
22,5707.0,0.0062013707378334,0.001605157861626285,0.25902438351231283,5667.6,0.006287326411148977,0.005895100304880092,0.006292794221550592,5650.0,0.006325903185620219,0.017400000000000214,5637.0,0.0016722800455088382,0.0016632016632016648,0.0016415746856845936,0.8232999999999999,0.0016538139068283523,0.26124545390994736,0.26127594750451827,4245.0,0.2615374451964643,0.005894477261251748,0.017800000000000083,22476,0.01766666666666694,2992.0,0.8221999999999998,0.005896935838776735,0.25612967365865297,0.8236666666666664,95.0
23,5690.4,0.006234174908715984,0.0016196179091684,0.25986278818965763,5653.0,0.006314700022658165,0.005947734112311984,0.006329411931051965,5635.666666666667,0.006398791675990155,0.017500000000000203,5622.0,0.0016828167172267309,0.0016797556719022678,0.0016544257388167245,0.8241999999999997,0.0016695417163221495,0.26185806534582073,0.26214021189011577,4235.0,0.2642495122169945,0.006013978651877289,0.01780000000000017,22345,0.018000000000000238,2985.0,0.8241999999999997,0.005957569255586538,0.2576737262940684,0.825333333333333,94.0
24,5675.1,0.00626500711779804,0.00163429340683501,0.2606092967646715,5636.2,0.006334050797490586,0.005962321683689377,0.006372591502807122,5622.666666666667,0.006393079646810992,0.017600000000000192,5609.0,0.0016964509034973247,0.0016864769538879325,0.0016681418682418226,0.8247999999999998,0.001683849222077631,0.26236043363751016,0.2631705902901534,4224.0,0.26372481345700144,0.005990119464536202,0.01780000000000026,22311,0.018000000000000238,2978.0,0.8265999999999997,0.006025062296336284,0.25623665000244017,0.8249999999999996,94.0
25,5662.8,0.006300643649880815,0.0016478460320725739,0.26145160559965425,5627.0,0.0063683505919564206,0.005984018992802535,0.00641743628087212,5616.666666666667,0.006460437519815211,0.01770000000000018,5619.0,0.0017028712338888752,0.0016928657799274234,0.0016815894572705299,0.8248999999999997,0.001694046284870977,0.2629070088325493,0.26412130690313135,4237.0,0.264389595035398,0.006009402311255226,0.018000000000000238,22079,0.018000000000000238,2993.0,0.8265999999999997,0.006179578425465674,0.2562433224178343,0.8293333333333329,94.0
26,5649.3,0.00633168502544499,0.0016605145439522518,0.26230965612105817,5615.6,0.0064009787285172716,0.0060623559269463514,0.006426732926991994,5606.333333333333,0.006426681614349779,0.01780000000000017,5591.0,0.001711291193300289,0.0017031630170316228,0.0016931420186844116,0.8254999999999997,0.0017035377768954963,0.2638420067566066,0.264474358789858,4215.0,0.26530866787717444,0.00614212573265137,0.018000000000000238,22300,0.018000000000000238,2974.0,0.8265999999999997,0.006176933364572766,0.2592973862798963,0.8296666666666663,94.0
27,5635.0,0.006357072316867121,0.001672971763237038,0.26289102297664063,5602.4,0.006426818222585266,0.005995594777429149,0.006447406596708394,5593.666666666667,0.006455100655960191,0.01790000000000016,5571.0,0.0017284141560341912,0.0017209128320239363,0.0017043688407894822,0.8247999999999998,0.001714192194407785,0.2645365920433339,0.26490287818089114,4198.0,0.26501037163010105,0.00609671229360655,0.018000000000000238,22105,0.018000000000000238,2961.0,0.8273999999999997,0.006074590553893981,0.2553358292347468,0.8249999999999997,93.0
28,5621.2,0.0063812595522405036,0.0016853922856798534,0.26337381590549475,5589.4,0.006447819081822839,0.00607003573415422,0.0064618594141626655,5573.0,0.006503795972178028,0.017900000000000204,5557.0,0.0017427666759942321,0.0017382413087934463,0.0017163588325429823,0.8258999999999996,0.0017274906751095708,0.2648895664651688,0.2654444746111482,4189.0,0.26601438432616903,0.006126092816431149,0.018000000000000238,21997,0.018000000000000238,2954.0,0.8275999999999997,0.006152053430879743,0.25784048767542517,0.8269999999999998,93.0
29,5610.7,0.00640762643018967,0.0016979609539117973,0.26406574710401703,5585.2,0.0064812020628887525,0.006068090849733981,0.006506297060092925,5572.0,0.006559994552140555,0.01790000000000025,5588.0,0.0017535569386912726,0.0017441860465116353,0.0017277800395817723,0.8257999999999998,0.0017415792569065653,0.265771060570524,0.2663856799800159,4222.0,0.26813228398377753,0.0061460622349317606,0.018000000000000238,22027,0.018000000000000238,2991.0,0.8249999999999996,0.006031623133470267,0.2559994960951303,0.822333333333333,93.0
30,5597.8,0.00643593805489312,0.0017105893022729287,0.26468986956878526,5568.6,0.006503525517829821,0.006090810520812696,0.006545281772946378,5560.333333333333,0.006572054794520551,0.018000000000000238,5536.0,0.0017619167723566546,0.0017483862337755378,0.0017395891472753277,0.8268999999999996,0.0017527467956807198,0.2664727303050211,0.2673482040059434,4173.0,0.2678979437078837,0.0061722187303701655,0.018000000000000238,21900,0.018000000000000238,2944.0,0.8271999999999998,0.006305422486738366,0.25764585679724245,0.8289999999999997,92.0
